,,,,,,,,,,,,,,,,
Program with corresponding TVET Program,,,,,,,,,Year 2,,,,Year 3,,,
Importing 2.1,Region,Sector,Subsector,Job Requirement,Programs,"Program
Type","Supply
Gap",,Supply Gap (%),Target Beneficiaries,,,Supply Gap (%),Target Beneficiaries,,
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|DIGITAL MARKETING & PROMOTION TECHNOLOGY|DIGITAL MARKETING LEVEL III|WITH CS,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,DIGITAL MARKETING & PROMOTION TECHNOLOGY,DIGITAL MARKETING LEVEL III,WITH CS,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|DOOR MAN|FRONT OFFICE SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,DOOR MAN,FRONT OFFICE SERVICES NC II,WITH TR,"4,776",,"1,634","1,164",470,"1,634","1,763","1,111",652,"1,763"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,663,,199,147,52,199,265,199,66,265
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|ELECTRONICS/SOUND SYTEM OPERATOR/TECHNICIAN|ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,ELECTRONICS/SOUND SYTEM OPERATOR/TECHNICIAN,ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|FRONT OFFICE MANAGER|FRONT OFFICE SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,FRONT OFFICE MANAGER,FRONT OFFICE SERVICES NC II,WITH TR,"4,776",,"1,634","1,034",600,"1,634","1,763",963,800,"1,763"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|GUEST RELATION OFFICER|FRONT OFFICE SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,GUEST RELATION OFFICER,FRONT OFFICE SERVICES NC II,WITH TR,"4,776",,"1,634","1,034",600,"1,634","1,763","1,063",700,"1,763"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|HANDYMAN|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,HANDYMAN,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,367",,273,147,126,273,478,278,200,478
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|HOTEL MANAGER|DIPLOMA PROGRAM IN HOTEL AND RESTAURANT TECHNOLOGY|DIPLOMA PROGRAMS,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,HOTEL MANAGER,DIPLOMA PROGRAM IN HOTEL AND RESTAURANT TECHNOLOGY,DIPLOMA PROGRAMS,"4,593",,"1,670",401,"1,269","1,670","1,610",482,"1,128","1,610"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|HOUSEKEEPER / SECTION HEAD|FRONT OFFICE SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,HOUSEKEEPER / SECTION HEAD,FRONT OFFICE SERVICES NC II,WITH TR,"4,776",,"1,634","1,009",625,"1,634","1,763",963,800,"1,763"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|LANGUAGES (NIHONGO & KOREAN)|LANGUAGE A1 LEVEL|WITH CS,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,LANGUAGES (NIHONGO & KOREAN),LANGUAGE A1 LEVEL,WITH CS,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|LAUNDRY TECHNICIANS|HOUSEKEEPING NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,LAUNDRY TECHNICIANS,HOUSEKEEPING NC II,WITH TR,"8,297",,"4,152","3,838",314,"4,152","2,075","2,028",47,"2,075"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|LINEN ATTENDANT|HOUSEKEEPING NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,LINEN ATTENDANT,HOUSEKEEPING NC II,WITH TR,"8,297",,"4,152","3,838",314,"4,152","2,075","2,028",47,"2,075"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|MASSAGE THERAPIST|MASSAGE THERAPY NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,MASSAGE THERAPIST,MASSAGE THERAPY NC II,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|PLUMBERS|PLUMBING NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,PLUMBERS,PLUMBING NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|RAC/HVAC TECHNICIAN/INSTALLER|RAC SERVICING (DOMRAC) NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,RAC/HVAC TECHNICIAN/INSTALLER,RAC SERVICING (DOMRAC) NC II,WITH TR,737,,221,164,57,221,295,220,75,295
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|RESERVATION CLERK|FRONT OFFICE SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,RESERVATION CLERK,FRONT OFFICE SERVICES NC II,WITH TR,"4,776",,"1,634","1,159",475,"1,634","1,763","1,213",550,"1,763"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|ROOM ATTENDANT/ HOUSEKEEPING SPECIALIST|HOUSEKEEPING NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,ROOM ATTENDANT/ HOUSEKEEPING SPECIALIST,HOUSEKEEPING NC II,WITH TR,"8,297",,"4,152","3,541",611,"4,152","2,075","1,980",95,"2,075"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|SOLAR TECHNICIAN|PV SYSTEMS INSTALLATION NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,SOLAR TECHNICIAN,PV SYSTEMS INSTALLATION NC II,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|STEWARDS|FRONT OFFICE SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,STEWARDS,FRONT OFFICE SERVICES NC II,WITH TR,"4,776",,"1,634","1,134",500,"1,634","1,763","1,210",553,"1,763"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|TAX LIAISON|BOOKKEEPING NC III|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,TAX LIAISON,BOOKKEEPING NC III,WITH TR,"1,631",,817,607,210,817,408,303,105,408
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|TELEPHONE OPERATOR|CUSTOMER SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,TELEPHONE OPERATOR,CUSTOMER SERVICES NC II,WITH TR,"1,367",,273,174,99,273,478,325,153,478
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|THERMAL CLEANER|NO CORRESPONDING TVET PROGRAM|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,THERMAL CLEANER,NO CORRESPONDING TVET PROGRAM,WITH TR,"1,267",,253,154,99,253,443,297,146,443
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|UPHOLSTERY CLEANER|HOUSEKEEPING NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,UPHOLSTERY CLEANER,HOUSEKEEPING NC II,WITH TR,"8,297",,"4,152","3,958",194,"4,152","2,075","2,028",47,"2,075"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|FRONT OFFICE SERVICES HIGHER QUALIFICATIONS (FRONT OFFICE SUPERVISOR/MANAGER)|FRONT OFFICE SERVICES NC III|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,FRONT OFFICE SERVICES HIGHER QUALIFICATIONS (FRONT OFFICE SUPERVISOR/MANAGER),FRONT OFFICE SERVICES NC III,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|HOUSEKEEPING SERVICES HIGHER QUALIFICATIONS (HOUSEKEEPING SUPERVISOR/MANAGER)|HOUSEKEEPING NC III|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,HOUSEKEEPING SERVICES HIGHER QUALIFICATIONS (HOUSEKEEPING SUPERVISOR/MANAGER),HOUSEKEEPING NC III,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LAUNDRY SUPERVISOR|HOUSEKEEPING NC III|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LAUNDRY SUPERVISOR,HOUSEKEEPING NC III,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LIFEGUARD SERVICES (LIFEGUARD)|LIFEGUARD SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LIFEGUARD SERVICES (LIFEGUARD),LIFEGUARD SERVICES NC II,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LINEN/UNIFORM SUPERVISOR|HOUSEKEEPING NC III|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LINEN/UNIFORM SUPERVISOR,HOUSEKEEPING NC III,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|PUBLIC AREA SUPERVISOR|HOUSEKEEPING NC III|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,PUBLIC AREA SUPERVISOR,HOUSEKEEPING NC III,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|BARISTA|BARISTA NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,BARISTA,BARISTA NC II,WITH TR,"8,488",,"4,245","2,392","1,853","4,245","2,122","1,321",801,"2,122"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|BARTENDING (BARTENDER)|BARTENDING NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,BARTENDING (BARTENDER),BARTENDING NC II,WITH TR,"1,694",,848,627,221,848,424,314,110,424
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|BARTENDING|BARTENDING NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,BARTENDING,BARTENDING NC II,WITH TR,"8,498",,"4,249","2,491","1,758","4,249","2,125","1,471",654,"2,125"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|BREAD AND PASTRIES|FOOD AND BEVERAGE SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,BREAD AND PASTRIES,FOOD AND BEVERAGE SERVICES NC II,WITH TR,"8,451",,"4,227","2,826","1,401","4,227","2,113","1,571",542,"2,113"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|CAKE MAKING|TOURISM PROMOTION SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,CAKE MAKING,TOURISM PROMOTION SERVICES NC II,WITH TR,"4,681",,"1,601",714,887,"1,601","1,730",930,800,"1,730"
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|COOK OR COMMIS, ASSISTANT COOK|FOOD PRODUCTION (BREAD AND PATISSERIE) NC II|WITH TR",REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,"COOK OR COMMIS, ASSISTANT COOK",FOOD PRODUCTION (BREAD AND PATISSERIE) NC II,WITH TR,"7,599",,"3,770","2,862",908,"3,770","1,910","1,906",254,"2,160"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD AND BEVERAGE SERVICES ATTENDANT|FOOD AND BEVERAGE SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD AND BEVERAGE SERVICES ATTENDANT,FOOD AND BEVERAGE SERVICES NC II,WITH TR,711,,214,159,55,214,284,211,73,284
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD AND BEVERAGE SERVICES HIGHER QUALIFICATIONS (FBS SUPERVISOR/MANAGER)|FOOD AND BEVERAGE SERVICES NC III|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD AND BEVERAGE SERVICES HIGHER QUALIFICATIONS (FBS SUPERVISOR/MANAGER),FOOD AND BEVERAGE SERVICES NC III,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD SAFETY MANAGEMENT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD SAFETY MANAGEMENT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"2,199",,890,272,618,890,620,312,308,620
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FRONT DESK /FRONT LINERS|FOOD AND BEVERAGE SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FRONT DESK /FRONT LINERS,FOOD AND BEVERAGE SERVICES NC II,WITH TR,"8,451",,"4,227","3,242",985,"4,227","2,113","1,706",407,"2,113"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|KITCHEN MECHANICS|COOKERY NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,KITCHEN MECHANICS,COOKERY NC II,WITH TR,"8,109",,"4,058","3,793",265,"4,058","2,027","2,027",0,"2,027"
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|KITCHEN SUPERVISOR, HEAD CHEF, BANQUET HEAD COOK/CHEF|FOOD PRODUCTION (PROFESSIONAL COOKERY) NC III|WITH TR",REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,"KITCHEN SUPERVISOR, HEAD CHEF, BANQUET HEAD COOK/CHEF",FOOD PRODUCTION (PROFESSIONAL COOKERY) NC III,WITH TR,"1,267",,253,192,61,253,443,323,120,443
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|SERVICE ATTENDANTS|CUSTOMER SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,SERVICE ATTENDANTS,CUSTOMER SERVICES NC II,WITH TR,"1,367",,273,174,99,273,478,303,175,478
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|SERVICE CREW / FOOD ATTENDANTS / FB PRODUCTION / WAITER / WAITRESS|COOKERY NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,SERVICE CREW / FOOD ATTENDANTS / FB PRODUCTION / WAITER / WAITRESS,COOKERY NC II,WITH TR,"8,109",,"4,058","3,867",191,"4,058","2,027","1,982",45,"2,027"
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|SOUS CHEF, EXECUTIVE SOUS CHEF|FOOD PRODUCTION (PROFESSIONAL COOKERY) NC IV|WITH TR",REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,"SOUS CHEF, EXECUTIVE SOUS CHEF",FOOD PRODUCTION (PROFESSIONAL COOKERY) NC IV,WITH TR,"1,267",,253,189,64,253,443,346,97,443
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|ASSISTANT COOK|COOKERY NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,ASSISTANT COOK,COOKERY NC II,WITH TR,640,,192,139,53,192,256,194,62,256
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|COMMIS PASTRY
 BAKER|BREAD AND PASTRY PRODUCTION NC II|WITH TR",REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,"COMMIS PASTRY
 BAKER",BREAD AND PASTRY PRODUCTION NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|COOK OR COMMIS|COOKERY NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,COOK OR COMMIS,COOKERY NC II,WITH TR,640,,192,135,57,192,256,194,62,256
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|FOOD PROCESSING (QUALITY CONTROLLER)|FOOD PROCESSING NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,FOOD PROCESSING (QUALITY CONTROLLER),FOOD PROCESSING NC II,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|PREPARE COLD MEALS|COOKERY NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,PREPARE COLD MEALS,COOKERY NC II,WITH TR,"1,602",,802,598,204,802,401,300,101,401
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|PREPARE HOT MEALS|COOKERY NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,PREPARE HOT MEALS,COOKERY NC II,WITH TR,"1,602",,802,598,204,802,401,300,101,401
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|MICE (MEETINGS, INCENTIVES, CONFERENCES, AND EXHIBITIONS)|SENIOR MICE COORDINATOR , SENIOR SPECIAL EVENTS COORDINATOR|EVENTS MANAGEMENT SERVICES NC III|WITH TR",REGION_VII,TOURISM (HOTEL AND RESTAURANT),"MICE (MEETINGS, INCENTIVES, CONFERENCES, AND EXHIBITIONS)","SENIOR MICE COORDINATOR , SENIOR SPECIAL EVENTS COORDINATOR",EVENTS MANAGEMENT SERVICES NC III,WITH TR,"5,810",,"2,380",892,"1,488","2,380","1,850",789,"1,061","1,850"
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOUR|TOUR GUIDING|TOUR GUIDING SERVICES NC III|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOUR,TOUR GUIDING,TOUR GUIDING SERVICES NC III,WITH TR,"1,267",,253,164,89,253,443,315,128,443
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|1.TOURISM OPERATIONS COORDINATOR
2.TRAVEL CONSULTANT/TOUR PLANNER/TRAVEL SALES EXECUTIVE/TOUR COORDINATOR/TOUR OPERATIONS ASSISTANT 
3.TOUR GUIDE/TOUR LEADER/TOUR COORDINATOR
4.TOURISM MARKETING OFFICER/SALES EXECUTIVE FOR TOURISM/DESTINATION MARKETING COORDINATOR
5.EVENT COORDINATOR/CATERING MANAGER
6.ECO-TOURISM COORDINATOR/SUSTAINABLE TOURISM OFFICER/NATURE TOUR GUIDE/ENVIRONMENTAL EDUCATION 
7.MICE COORDINATOR/CONFERENCE ORGANIZER
8.CRUISE OPERATIONS COORDINATOR/ADVENTURE TOUR GUIDE/CRUISE MANAGER/OUTDOOR ACTIVITY|DIPLOMA PROGRAM IN TOURISM MANAGEMENT|DIPLOMA PROGRAMS",REGION_VII,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,"1.TOURISM OPERATIONS COORDINATOR
2.TRAVEL CONSULTANT/TOUR PLANNER/TRAVEL SALES EXECUTIVE/TOUR COORDINATOR/TOUR OPERATIONS ASSISTANT 
3.TOUR GUIDE/TOUR LEADER/TOUR COORDINATOR
4.TOURISM MARKETING OFFICER/SALES EXECUTIVE FOR TOURISM/DESTINATION MARKETING COORDINATOR
5.EVENT COORDINATOR/CATERING MANAGER
6.ECO-TOURISM COORDINATOR/SUSTAINABLE TOURISM OFFICER/NATURE TOUR GUIDE/ENVIRONMENTAL EDUCATION 
7.MICE COORDINATOR/CONFERENCE ORGANIZER
8.CRUISE OPERATIONS COORDINATOR/ADVENTURE TOUR GUIDE/CRUISE MANAGER/OUTDOOR ACTIVITY",DIPLOMA PROGRAM IN TOURISM MANAGEMENT,DIPLOMA PROGRAMS,"1,609",,448,311,137,448,568,323,245,568
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|TOUR GUIDING, LOCAL GUIDING SERVICES (TOUR GUIDEFOREIGN LANGUAGE OTHER THAN ENGLISH)|TOUR GUIDING SERVICES NC III|WITH TR",REGION_VII,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,"TOUR GUIDING, LOCAL GUIDING SERVICES (TOUR GUIDEFOREIGN LANGUAGE OTHER THAN ENGLISH)",TOUR GUIDING SERVICES NC III,WITH TR,742,,223,166,57,223,297,220,77,297
REGION_VII|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|TOUR PACKAGING STAFF|TOUR PACKAGING (FIT AD HOC DOMESTIC) SERVICES NC II|WITH TR,REGION_VII,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,TOUR PACKAGING STAFF,TOUR PACKAGING (FIT AD HOC DOMESTIC) SERVICES NC II,WITH TR,"1,267",,253,164,89,253,443,315,128,443
"REGION_VII|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|TOURISM PROMOTIONS SERVICES (ONLINE TRAVEL ADVISOR, ONLINE TOURISM PROMOTIONAL MATERIAL DEVELOPER)|TOURISM PROMOTION SERVICES NC II|WITH TR",REGION_VII,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,"TOURISM PROMOTIONS SERVICES (ONLINE TRAVEL ADVISOR, ONLINE TOURISM PROMOTIONAL MATERIAL DEVELOPER)",TOURISM PROMOTION SERVICES NC II,WITH TR,733,,220,163,57,220,293,217,76,293
REGION_VII|TVET|COMMUNITY BASED TRAINERS METHODOLOGY|COMMUNITY-BASED TRAINERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,COMMUNITY BASED TRAINERS METHODOLOGY,COMMUNITY-BASED TRAINERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,766",,403,239,164,403,643,400,243,643
REGION_VII|TVET|EDUCATION|CONTACT CENTER AGENT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,EDUCATION,CONTACT CENTER AGENT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"26,418",,"8,294","1,600","6,694","8,294","10,317","1,650","8,667","10,317"
REGION_VII|TVET|EDUCATION|ENGLISH TEACHER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,EDUCATION,ENGLISH TEACHER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"9,382",,"3,212",500,"2,712","3,212","3,464",550,"2,914","3,464"
REGION_VII|TVET|EDUCATION|ENGLISH TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,EDUCATION,ENGLISH TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"21,533",,"6,514","1,250","5,264","6,514","8,593","1,375","7,218","8,593"
REGION_VII|TVET|EDUCATION|ESKRIMA INSTRUCTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,EDUCATION,ESKRIMA INSTRUCTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"14,073",,"4,818",750,"4,068","4,818","5,196",825,"4,371","5,196"
REGION_VII|TVET|EDUCATION|ESL TEACHER/TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,EDUCATION,ESL TEACHER/TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"201,557",,"66,834","11,239","55,595","66,834","75,996","12,080","63,916","75,996"
REGION_VII|TVET|EDUCATION|IELTS COACH|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,EDUCATION,IELTS COACH,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"8,550",,"2,568",500,"2,068","2,568","3,426",550,"2,876","3,426"
REGION_VII|TVET|EDUCATION|NIHONGO TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,EDUCATION,NIHONGO TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"47,308",,"16,132","2,500","13,632","16,132","17,509","2,750","14,709","17,459"
REGION_VII|TVET|EDUCATION|TESOL COACH|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,EDUCATION,TESOL COACH,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"21,791",,"6,742","1,250","5,492","6,742","8,584","1,375","7,209","8,584"
REGION_VII|TVET|EDUCATION|TOEIC COACH|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,TVET,EDUCATION,TOEIC COACH,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"4,691",,"1,606",250,"1,356","1,606","1,732",275,"1,457","1,732"
REGION_VII|TVET|TRAINERS METHODOLOGY LEVEL I (IN-COMPANY TRAINERS)|TRAINERS METHODOLOGY (IN-COMPANY TRAINERS|TRAINERS METHODOLOGY LEVEL I (IN-COMPANY TRAINER)|WITH TR,REGION_VII,TVET,TRAINERS METHODOLOGY LEVEL I (IN-COMPANY TRAINERS),TRAINERS METHODOLOGY (IN-COMPANY TRAINERS,TRAINERS METHODOLOGY LEVEL I (IN-COMPANY TRAINER),WITH TR,"1,451",,354,174,180,354,540,272,268,540
